ID;exp_condition;MergeSELECT;age;CL;Sum_Orie_Dia_Post;Sum_Orie_Dia_Prä;Sum_Orie_IE_Post;Sum_Orie_IE_Prä;DiffGlob2task;AverageLokal;IE_FragSent_post;DIA_FragSent_post;IE_FragSent_pre;DIA_FragSent_pre;feedback_item_01;erf_lehre;fachsemester;feedback_item_00;feedback_item_02;feedback_item_03;feedback_item_04;feedback_item_05;gender;hochschulsemester;praktikum;studiengang;submission_erklaerung_pre;submission_erklaerung_post;submission_diagnostik_pre;submission_diagnostik_post;user;vorw_forschung;wiss_schreiben;CL_234;AverageGlobal;CL_234_1
lMRLQb;1;1;20; ;2;1,5;,5;,5;,5;,281318681318681;,0769230769230769;,4;,0769230769230769;,571428571428571; ;2;2; ; ; ; ; ;0;2;0;Staatsexamen;5/13/2015;5/13/2015;5/20/2015;5/20/2015;lMRLQb;1;0; ;1,125;2,56034482758621
xNDmQu;1;1;20; ;3,5;2,5;2;1;1;,304212454212454;,102564102564103;,5;,114285714285714;,5; ;0;4; ; ; ; ; ;1;4;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;xNDmQu;1;0; ;2,25;2,56034482758621
ZfwqZz;2;1;23; ;2;2;1;1;0;,197727272727273;,3;,0909090909090909;,3;,1; ;0;8; ; ; ; ; ;1;10;1;Staatsexamen;5/17/2015;5/17/2015;6/1/2015;6/1/2015;ZfwqZz;2;0; ;1,5;2,56034482758621
nwnidL;1;1;25; ;3;3;2;2;0;,162698412698413;,142857142857143;,111111111111111;,285714285714286;,111111111111111; ;3;9; ; ; ; ; ;1;10;1;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;nwnidL;1;0; ;2,5;2,56034482758621
PiVOfb;2;1;19;1;2;2;,5;,5;0;,162337662337662;,181818181818182;,142857142857143;,181818181818182;,142857142857143;0;1;1;0;2;2;0;Das Feedback ist meiner Meinung nach nicht ausreichend, um eine Erklärung zu verbessern, da nicht auf Satzlänge, Wortwiderholungen eingegangen wird, sonder nur Verbindungen berücksichtigt werden.;1;2;0;Staatsexamen;5/15/2015;5/15/2015;5/25/2015;5/25/2015;PiVOfb;1;0;1;1,25;1
GpvAij;0;1;19;1,5;1,5;1,5;,5;,5;0;,188636363636364;,2;,0909090909090909;,363636363636364;,1;0;0;2;0;3;3;2;Da nur ein Satz im Feedback stand, wusste ich nicht ob das ein gutes oder schlechtes Zeichen ist. Mit der angegebenen Anzahl der Konzepte wusste ich nicht, ob sie genügen oder ob ich noch welche hinzufügen muss.;0;2;0;Staatsexamen;5/17/2015;5/17/2015;5/20/2015;5/20/2015;GpvAij;1;0;2;1;2
aZpWpF;0;1;19;,75;1,5;2,5;2;1,5;-1;,353846153846154;,333333333333333;,2;,615384615384615;,266666666666667;0;0;2;0;2;1;3; ;1;2;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;aZpWpF;1;1;1,5;1,875;1,5
pMLkII;0;1;20;1,25;1,5;1,5;1,5;1,5;0;,233333333333333;,3;,166666666666667;,3;,166666666666667;0;1;2;0;2;3;3; ;1;2;0;Staatsexamen;5/15/2015;5/18/2015;6/1/2015;6/1/2015;pMLkII;1;0;2;1,5;2
qKWzfn;2;1;20;,75;2;2;2,5;1,5;0;,273972518709361;,266666666666667;,157894736842105;,363636363636364;,307692307692308;0;1;2;0;1;2;1;Es dauert einige Zeit bis man die Grafik entsprechend versteht und sich um den Aussagengehalt informiert fühlt. Danach versucht man die genannten Kohärenzbrüchen zu vermeiden und überarbeitet seinen Text. Je doch ist nicht immer ganz klar, warum nicht auch mehrere nicht direkt zusammenhängenden Bereichen zwingend miteinander verbunden werden müssen.;1;2;0;Staatsexamen;5/14/2015;5/14/2015;5/26/2015;5/26/2015;qKWzfn;0;0;1;2;1
uMPOOJ;0;1;38;,5;2,5;2,5;2;2;0;,283653846153846;,125;,384615384615385;,125;,5;0;2;2;0;0;2;0;"Leider ist in dieser Maßnahme für jene, die 24 Konzepte und keine Kohärenzbrüche hatten und daher keine Veränderungen durchführen mussten keine wirklich hilfreiches Feadback wie ""Gratulation, Dein Text war gleich super, lass ihn, wie er ist!"" oder dergleichen vorhanden. Das würde ein Verfalschbessern bei ""Ungläubigen"" verhindern.";1;23;0;Staatsexamen;5/13/2015;5/13/2015;5/22/2015;5/22/2015;uMPOOJ;2;0;,5;2,25;,5
